regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
CALARCA AUTOM   ,2255,-75.596388888889,4.528305555556,0,0,0,0,3.728,0,2.753,0.93
QDA NEGRA AUTOMATICA ,1107,-74.48125,5.137611111111,0,0,0,0,3.582,0,2.895,0.93
PNN NEVADOS AUTOM  ,3641,-75.382416666667,4.859444444444,0,0,0,0,0,3.158,3.299,0.92
HDA MANILA AUTOMATICA ,600,-75.081527777778,3.133055555556,0,0,0,0,2.351,2.323,1.649,0.9
LA PLATA AUTOMATICA ,2101,-75.074555555556,2.759138888889,0,0,0,0,3.128,0,3.13,0.89
PMO GUACHENEQUE AUTOMATICA ,23,-73.525083333333,5.236055555556,0,0,0,0,0,4.088,2.091,0.88
PNN CHINGAZA AUTOM  ,3205,-73.827333333333,4.661,0,0,0,0,0,3.198,2.971,0.88
VEGACHI AUTOM   ,990,-74.796527777778,6.774111111111,0,0,0,0,2.591,2.128,1.434,0.88
SOGAMOSO AUTOMATICA ,2495,-72.911152777778,5.753333333333,0,0,0,0,2.978,0,3.172,0.88
HDA STA ANA AUTOM ,2572,-73.88125,5.0905,0,0,0,0,3.632,0,2.487,0.87
NATAIMA AUTOM   ,393,-74.960472222222,4.188138888889,0,0,0,0,3.152,0,2.956,0.87
STA CRUZ DE SIECHA AUTOMATICA ,31,-73.870805555556,4.784277777778,0,0,0,0,3.054,0,2.973,0.86
AGUAS DE LA VIRGEN AUTOMATICA ,17,-73.3975,8.227694444444,1.599,0,0,0,1.204,1.366,1.598,0.82
STA ISABEL VALDIVIA  ,1132,-75.442222222222,7.157277777778,0,0,0,0,3.766,0,2.001,0.82
EL PEPINO AUTOMATICA ,760,-76.667111111111,1.082888888889,0,0,0,0,5.319,0,0.429,0.82
ENEA LA ,203,-75.466666666667,5.033333333333,0.207,1.453,1.612,0,0,1.638,0.279,0.74
PMO DE YERBABUENA  ,3394,-75.700833333333,4.075805555556,0,0,0,0,0,2.373,2.63,0.71
SALINAS DE UPIN AUTOMATICA ,690,-73.586861111111,4.273861111111,0,0,0,0,4.305,0,0.423,0.68
