LETICIA,amazonia,144.094543457031,-69.9470748911655,-3.9867
VILLAVICENCIO,andes,488.772338867188,-73.6374282767513,4.15730725820001
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,BASE AEREA APIAY ,400,-73.559916666667,4.077111111111,0.5,7.518,0.048,0.098,0,7.535,1.256,2.42
,ICA VILLAVICENCIO AUTOMATICA ,444,-73.625,4.137388888889,0,1.982,0,2.031,7.409,2.031,2.39,2.26
,APTO VANGUARDIA   ,422,-73.617577777778,4.161919444444,0.228,4.032,4.132,0.107,0,4.036,0.697,1.89
INÍRIDA,amazonia,93.7625961303711,-67.9234162417424,3.87209974163615
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,PTO INIRIDA AUTOMATICA ,100,-67.931694444444,3.867666666667,0,0,0,0,2.544,0,1.999,0.65
CALI,andes,960.393737792969,-76.5242004326088,3.4262827544158
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO A BONILLA  ,970,-76.386638888889,3.536688888889,1.229,10.389,10.245,0.142,0,10.395,1.73,4.88
,UNIV DEL VALLE  ,996,-76.533888888889,3.378,0,0,0,0,6.736,0,2.643,1.34
,BASE AEREA MFS  ,975,-76.499722222222,3.4545,0,0,0,0,3.651,0,3.773,1.06
,A.A.BONILLA AUTOM   ,961,-76.3825,3.532991666667,0,0,0,0,1.353,0,1.074,0.35
NEIVA,andes,444.859649658203,-75.2795181206766,2.92287003097258
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO BENITO SALAS ,439,-75.293055555556,2.94875,0.443,5.821,5.594,0.133,0,5.825,0.965,2.68
,DESIERTO LA TATACOA AUTOMATICA ,459,-75.168194444444,3.234472222222,0,0,0,0,1.387,1.387,1.325,0.59
SAN JOSÉ DEL GUAVIARE,amazonia,184.749084472656,-72.6408996512117,2.55345117149258
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,SAN JOSE DEL GUAVIARE AUTOMATICA ,165,-72.647083333333,2.553027777778,0,0,0,0,1.861,0,1.165,0.43
,BOLIVIA LA ,250,-72.633333333333,2.566666666667,0.007,0.111,0,0,0,0.111,0.019,0.04
,SAN JOSE GUAVIARE ,172,-72.637916666667,2.573444444444,0.001,0.008,0.017,0,0,0.013,0.003,0.01
POPAYÁN,andes,1722.65673828125,-76.6146545340209,2.44800483276533
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,HDA SUECIA AUTOMATICA ,1755,-76.82775,2.479555555556,0,0,0,0,1.454,1.463,1.453,0.62
,APTO G L VALENCIA ,1752,-76.60875,2.452888888889,0.002,0.023,0.025,0,0,0.024,0.004,0.01
FLORENCIA,andes,323.426116943359,-75.6221694878188,1.62437259256993
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,MACAGUAL AUTOMATICA ,280,-75.661,1.499722222222,0,0,0,0,4.14,0,0.369,0.64
,APTO G ARTUNDUAGA ,244,-75.559555555556,1.589055555556,0.002,0.024,0.022,0,0,0.024,0.004,0.01
MITU,amazonia,171.719802856445,-70.2254562360183,1.26443671261389
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,MITU  ,180,-70.239111111111,1.259555555556,0.001,0.01,0.01,0,0,0.011,0.001,0
MOCOA,andes,648.627746582031,-76.642051689641,1.1748987346326
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,ACDTO MOCOA AUTOM  ,650,-76.651833333333,1.157333333333,0,0,0,0,2.032,0,0.429,0.35
PASTO,andes,2556.2900390625,-77.2847466015938,1.21371002531483
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,UNIV DE NARIÑO  ,2626,-77.283388888889,1.225111111111,0,0,0,0,3.636,0,0.432,0.58
SAN ANDRES,,34.7305335998535,-81.704725,12.58197
,local stations:,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
,APTO SESQUICENTEN   ,1,-81.730969444444,12.542183333333,1.194,1.265,0,1.196,0,1.265,1.194,0.87
