DV,HR,NUB,PRE,RDIR,T,VV,AVG
SABANALARGA AUTOMATICA [29045000],0,0,0,0,0,0,1.24,0.18
CHINAVITA AUTOMATICA [35075070],0,0,0,0,0.428,0.249,0.441,0.16
APTO ALFONSO LOPEZ - AUTOM [28025502],0,0,0,0,0.558,0,0.514,0.15
LA MARTINICA AUTOMATICA [21215170],0,0,0,0,0.984,0,0.059,0.15
PNN LA PAYA AUTOMATICA [47035030],0,0,0,0,0.325,0.492,0,0.12
MINA LA CERREJON - AUTOM [15065501],0.305,0,0,0,0.109,0,0.301,0.10
GRANJA EL MIRA - AUTOM [51025090],0,0,0,0,0.396,0,0.177,0.08
APTO EL EDEN - AUTOM [26125061],0,0,0,0,0.253,0,0.252,0.07
VOLCAN CHILES AUTOMATICA [52055160],0,0,0,0,0,0.321,0.088,0.06
SERRANILLA AUTOMATICA [17035010],0.072,0,0,0,0.203,0,0.063,0.05
ALTAQUER AUTOMATICA [51025080],0,0,0,0,0.214,0,0.118,0.05
APTO YOPAL [35215010],0.012,0.088,0.079,0,0,0.088,0.015,0.04
BAHIA SOLANO AUTOMATICA [56019010],0,0,0,0,0.258,0,0,0.04
BOLIVIA LA [32100010],0.007,0.111,0,0,0,0.111,0.019,0.04
PTO BOLIVAR AUTOMATICA [15079010],0.059,0,0,0,0.064,0,0.059,0.03
BOSQUE INTERVENIDO   [35025090],0,0,0,0,0,0,0.17,0.02
APTO PUERTO ASIS [47015020],0.002,0.035,0.031,0,0,0.036,0.006,0.02
APTO G L VALENCIA [26035030],0.002,0.023,0.025,0,0,0.024,0.004,0.01
LAGUNA LA PLAZA AUTOMATICA [35095130],0,0,0,0,0,0,0.077,0.01
APTO G ARTUNDUAGA [44035020],0.002,0.024,0.022,0,0,0.024,0.004,0.01
C.UNIV.AGROP-UDCA [21206260],0.002,0.015,0.017,0,0,0.015,0.003,0.01
APTO BUENAVENTURA   [53115010],0.001,0.014,0.015,0,0,0.015,0.002,0.01
SAN RAFAEL [21185050],0.001,0.014,0.012,0,0,0.014,0.002,0.01
SAN JOSE GUAVIARE [32107030],0.001,0.008,0.017,0,0,0.013,0.003,0.01
TAME [36025010],0.002,0.011,0.011,0,0,0.011,0.002,0.01
SAN IGNACIO   [46017010],0.001,0.006,0.019,0,0,0.006,0.005,0.01
APTO RAFAEL BARVO [25025080],0.001,0.011,0.011,0,0,0.011,0.002,0.01
TUMACO AUTOMATICA [51039010],0.002,0.006,0.013,0,0,0.013,0.002,0.01
BASE AEREA MELGAR [21195080],0.004,0.001,0,0,0,0.024,0.004,0.00
MITU  [42075010],0.001,0.01,0.01,0,0,0.011,0.001,0.00
PANAMERICANA [56015010],0.001,0.008,0.014,0,0,0.008,0.002,0.00
APTO MARIQUITA [23015040],0.002,0.002,0.015,0,0,0.002,0.002,0.00
INMACULADA LA [26110150],0.001,0.001,0.012,0,0,0.001,0.002,0.00
APTO GUAPI   [53045030],0.001,0,0.012,0,0,0,0.002,0.00
APTO AGUAS CLARAS [16055010],0.001,0,0.01,0,0,0,0.002,0.00
APTO OTU   [23175020],0,0,0,0,0,0,0,0.00
GAVIOTAS LAS [34015010],0,0,0,0,0,0,0,0.00
