code,name,source,TS,HR,PR,VV,DV,NUB
800770,OCANA/AGUAS CLARAS,NOAA,0.01,0.01,0.01,0.01,0.01,0.01
801100,OLAYA HERRERA,NOAA,4.36,4.36,4.36,4.36,4.36,4.36
12015100,PISTA INDIRA AUTOM  [12015100],IDEAM,6.6,7.08,6.58,5.99,5.9,0
21206960,IDEAM BOGOTA AUTOMATICA [21206960],IDEAM,7.88,8.03,8.18,8.02,8.15,0
26155230,EMAS AUTOM   [26155230],IDEAM,0,11.46,1.06,10.6,10.58,0
44037040,EL ROSARIO AUTOMATICA [44037040],IDEAM,0,0,1.06,0,0,0
53075020,EL DIVISO AUTOMATICA [53075020],IDEAM,0,5.03,1.07,1.05,1.03,0
35037100,PTE ABADIA AUTOMATICA [35037100],IDEAM,0,0,1.05,0,0,0
26135290,MARSELLA AUTOM   [26135290],IDEAM,0,9.77,0.87,7.8,7.73,0
48015040,PTO NARIÑO AUTOM  [48015040],IDEAM,0,7.5,0.01,0.08,3.57,0
21195170,PAQUILO AUTOMATICA [21195170],IDEAM,11.66,11.22,0.16,65.74,1.87,0
21195190,PASCA AUTOMATICA [21195190],IDEAM,7.84,7.87,9.97,5.77,5.76,0
23035030,BASE PALANQUERO   [23035030],IDEAM,0,9.1,9.18,8.79,9,0
26055100,FARALLONES AUTOM   [26055100],IDEAM,4.49,8.06,1.07,7.14,4.51,0
25025340,SAN MARCOS AUTOMATICA [25025340],IDEAM,0,3.96,0,3.26,0.53,0
801490,LA NUBIA,NOAA,1.68,1.68,1.68,1.68,1.68,1.68
802110,EL EDEN,NOAA,5.67,5.67,5.67,5.67,5.67,5.67
803080,GUILLERMO LEON VALENCIA,NOAA,0.03,0.03,0.03,0.03,0.03,0.03
47035030,PNN LA PAYA AUTOMATICA [47035030],IDEAM,0,1.31,0,0,0,0
21206940,CIUDAD BOLIVAR AUTOMATICA [21206940],IDEAM,9.73,3.71,8.98,4.18,3.69,0
23195230,NEOMUNDO AUTOMATICA [23195230],IDEAM,6.06,5.85,5.74,5.49,8.05,0
802100,MATECANA,NOAA,8.09,8.09,8.09,8.09,8.09,8.09
800890,OTU,NOAA,0,0,0,0,0,0
26135320,NEV SANTA ISABEL AUTOMATICA [26135320],IDEAM,0,7.91,1.03,3.14,3.22,0
15075501,APTO PTO BOLIVAR AUTO [15075501],IDEAM,2.81,2.78,9.89,3.01,3.01,0
21195160,SUBIA AUTOMATICA [21195160],IDEAM,4.57,4.57,4.56,3.15,3.15,0
29045190,A.E.CORTISSOZ AUTOM   [29045190],IDEAM,0,4.18,0.04,4.48,2.68,0
35025110,LA LIBERTAD AUTOMATICA [35025110],IDEAM,0,4.6,4.82,0.13,19.51,0
824110,TABATINGA,NOAA,5.8,5.8,5.8,5.8,5.8,5.8
21206990,TIBAITATA AUTOMATICA [21206990],IDEAM,0,11.55,11.49,6.2,6.16,0
800630,LOS GARZONES,NOAA,5.07,5.07,5.07,5.07,5.07,5.07
21206600,NUEVA GENERACION AUTOMATICA[21206600],IDEAM,5.95,5.95,3.64,3.48,3.48,0
16015130,ALCALDIA DE HERRAN AUTOMATICA [16015130],IDEAM,7.34,7.24,7.24,7.15,7.14,0
11105020,CARMEN DEL DARIEN AUTOMATICA [11105020],IDEAM,3.58,3.14,18.49,0.1,3.81,0
29035000,SINCERIN [29035000],IDEAM,0,4.71,0.01,3.92,3.9,0
29065140,,,0,0.69,0,0.11,0.11,0
801005,MELGAR AB,NOAA,0,0,0,0,0,0
803980,ALFREDO VASQUEZ COBO,NOAA,8.93,8.93,8.93,8.93,8.93,8.93
26075150,A.A.BONILLA AUTOM   [26075150],IDEAM,0,3.44,0.7,2.75,3.1,0
26125290,ARMENIA AUTOM   [26125290],IDEAM,0,10.53,0.83,10.7,10.7,0
12015110,CHIGORODO AUTOM   [12015110],IDEAM,5.99,6,6.31,5.33,0.92,0
801120,JOSE MARIA CORDOVA,NOAA,10.46,10.46,10.46,10.46,10.46,10.46
23105070,MACEO AUTOMATICA (23105070),IDEAM,0,9.8,9.81,6.66,6.64,0
22025040,EL DIABLO AUTOM  [22025040],IDEAM,0,1.86,0,1.84,1.77,0
21115020,APTO BENITO SALAS [21115020],IDEAM,0,0,0,0,0,0
52025090,LA SIERRA AUTOM  [52025090],IDEAM,0,8.11,1.06,1.05,1.02,0
690186,SAN JOSE DEL GUAVIA,NOAA,0.11,0.11,0.11,0.11,0.11,0.11
21115010,DESIERTO LA TATACOA AUTOMATICA [21115010],IDEAM,3.46,3.46,3.43,3.3,3.3,0
25025000,EL DIFICIL AUTOM [25025000],IDEAM,0,4.51,0.05,3.78,3.78,0
802220,ELDORADO INTL,NOAA,10.99,10.99,10.99,10.99,10.99,10.99
25020430,,,0,0,0.7,0,0,0
31095030,PTO INIRIDA AUTOMATICA [31095030],IDEAM,0,7.23,2.12,0.87,30.85,0
26145090,STA EMILIA AUTOM  [26145090],IDEAM,0,10.7,1.06,8.42,8.55,0
15075150,PAICI AUTOMATICA [15075150],IDEAM,8.21,8.21,3.8,0.51,7.97,0
51027060,SAN JUAN MIRA AUTOM [51027060],IDEAM,0,0,6.41,0,0,0
52035040,VIENTO LIBRE AUTOM  [52035040],IDEAM,0,8.22,1.06,1.04,1.02,0
21201200,ESC LA UNION AUTOMATICA[21201200],IDEAM,43.25,31.5,9.68,0,0,0
46015030,SAN VICENTE DEL CAGUAN AUTOMATICA [46015030],IDEAM,0,7.65,6.42,0.18,0.17,0
48015010,A VASQUEZ COBO [48015010],IDEAM,3.55,3.55,0,0.54,21.28,0
54017040,TADO AUTOM   [54017040],IDEAM,0,0,4.56,0,0,0
15065190,MONGUI AUTOMATICA [15065190],IDEAM,3.56,3.12,4.09,3.9,3.89,0
26125710,APTO MATECAÑA AUTOM [26125710],IDEAM,2.22,2.05,0.74,2.22,2.05,0
25025002,LOS ALAMOS AUTOM [25025002],IDEAM,0,4.18,0.01,3.85,3.85,0
24035370,EL ESPINO AUTOMATICA [24035370],IDEAM,0,9.18,9.33,8.25,8.38,0
35085080,LA CAPILLA AUTOM [35085080],IDEAM,0,10.74,0.99,0.99,0.98,0
35167020,,,0,0,0.73,0,0,0
35035100,ICA VILLAVICENCIO AUTOMATICA [35035100],IDEAM,5.09,10.07,1.07,0.97,5.08,0
800011,EDUARDO FALLA SOLANO,NOAA,0.03,0.03,0.03,0.03,0.03,0.03
14015020,APTO RAFAEL NUNEZ [14015020],IDEAM,3.32,3.32,0,19.9,0.52,0
14019030,ESC NAVAL CIOH AUTOM [14019030],IDEAM,0,0,0.06,0,0,0
21255160,HDA PAJONALES   [21255160],IDEAM,0,10.42,10.58,10.44,10.42,0
26155220,VILLAMARIA AUTOM   [26155220],IDEAM,0,10.2,1.07,9.01,8.73,0
35167000,,,0,0,0.56,0,0,0
23195190,SAN ANTONIO SANTANDER AUTOMATICA [23195190],IDEAM,0,5.11,5.09,4.13,4.14,0
800350,ALMIRANTE PADILLA,NOAA,4.61,4.61,4.61,4.61,4.61,4.61
21201580,PASQUILLA AUTOMATICA [21201580],IDEAM,8.31,8.3,1.39,0,0,0
44035040,FLORENCIA-DESLIZAMIENTOS AUTOMATICA [44035040],IDEAM,0,7.75,0.79,0.77,0.76,0
801320,TAME/TAME,NOAA,0.01,0.01,0.01,0.01,0.01,0.01
801540,MARIQUITA,NOAA,0.02,0.02,0.02,0.02,0.02,0.02
802222,JOSE CELESTINO MUTIS,NOAA,0.01,0.01,0.01,0.01,0.01,0.01
804470,SAN ANTONIO DEL TACHIRA,NOAA,5.63,5.63,5.63,5.63,5.63,5.63
26115090,LAS BRISAS AUTOM  [26115090],IDEAM,0,9.94,0.87,9.15,9.48,0
37015030,BERLIN AUTOMATICA [37015030],IDEAM,0,7.73,1.07,1.06,1.06,0
27015310,METROMEDELLIN    [27015310],IDEAM,4.96,4.96,1.05,7.94,8.07,0
21055070,INZA AUTOMATICA [21055070],IDEAM,10.54,7.77,7.71,3.66,5.04,0
25025380,,,0,3.17,0.66,3.13,3.13,0
26135330,LA LAGUNA DEL OTUN [26135330],IDEAM,0,4.46,1.07,1.5,1.77,0
802226,EL YOPAL,NOAA,0.09,0.09,0.09,0.09,0.09,0.09
26035090,LA LAGUNA DE CAJIBIO [26035090],IDEAM,0,3.39,0,0.49,3.23,0
21215160,CERROS NOROCCIDENT   [21215160],IDEAM,0,9.25,9.24,7.89,7.74,0
