,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,422170,514940,0.82,417637,0.99,13/05/2008 18:40:00,26/02/2018 18:00:00
22,16015110,UNIV FRANCISO DE PAULA AUTOMATICA [16015110],7.898777777778,-72.487166666667,311
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,73660,87517,0.84,73660,1,01/01/2006 07:00:00,26/12/2015 20:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,455352,655641,0.69,452261,0.99,09/09/2005 17:30:00,26/02/2018 19:00:00
,HR,89597,109289,0.82,89580,1,09/09/2005 18:00:00,27/02/2018 11:00:00
,TS,90695,109197,0.83,90401,1,09/09/2005 18:00:00,23/02/2018 15:00:00
,PR,531086,655654,0.81,530408,1,09/09/2005 17:20:00,26/02/2018 21:00:00
,DV,456804,655227,0.7,454619,1,09/09/2005 17:30:00,23/02/2018 22:00:00
23,804480,GUASDUALITO,7.211,-70.756,129.8
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,40891,87671,0.47,40689,1,30/04/2008 19:00:00,01/05/2018 18:00:00
,DV,40891,87671,0.47,26938,0.66,30/04/2008 19:00:00,01/05/2018 18:00:00
,TS,40891,87671,0.47,40745,1,30/04/2008 19:00:00,01/05/2018 18:00:00
,PR,40891,87671,0.47,1641,0.04,30/04/2008 19:00:00,01/05/2018 18:00:00
,VV,40891,87671,0.47,39376,0.96,30/04/2008 19:00:00,01/05/2018 18:00:00
,NUB,40891,87671,0.47,30927,0.76,30/04/2008 19:00:00,01/05/2018 18:00:00
24,802227,SANTA ANA,4.758,-75.956,908
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,109,68757,0,37,0.34,19/06/2010 15:00:00,23/04/2018 12:00:00
,NUB,109,68757,0,107,0.98,19/06/2010 15:00:00,23/04/2018 12:00:00
,HR,109,68757,0,6,0.06,19/06/2010 15:00:00,23/04/2018 12:00:00
,TS,109,68757,0,6,0.06,19/06/2010 15:00:00,23/04/2018 12:00:00
,VV,109,68757,0,96,0.88,19/06/2010 15:00:00,23/04/2018 12:00:00
,PR,109,68757,0,0,0,19/06/2010 15:00:00,23/04/2018 12:00:00
25,35215020,APTO YOPAL AUTOMATICA [35215020],5.320444444444,-72.3875,325
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,4089,1141,3.58,4089,1,31/12/2016 23:40:00,17/02/2017 13:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,43072,63938,0.67,43072,1,02/11/2009 11:00:00,17/02/2017 13:00:00
,PR,4089,1141,3.58,4089,1,31/12/2016 23:40:00,17/02/2017 13:00:00
,HR,46428,86233,0.54,45339,0.98,18/04/2007 12:00:00,17/02/2017 13:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,686,6846,0.1,686,1,01/01/2017 04:00:00,17/02/2017 17:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
26,21205012,UNIV NACIONAL AUTOMATICA [21205012],4.638083333333,-74.089083333333,2556
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
