,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,26380,49901,0.53,26372,1,05/03/2017 18:10:00,15/02/2018 07:00:00
,DV,26805,49985,0.54,26798,1,05/03/2017 04:10:00,15/02/2018 07:00:00
,PR,28954,49901,0.58,28954,1,05/03/2017 18:10:00,15/02/2018 07:00:00
,HR,5838,8747,0.67,5838,1,21/02/2017 12:00:00,20/02/2018 23:00:00
80,800220,RAFAEL NUNEZ,10.442,-75.513,1.2
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,NUB,87055,87664,0.99,74687,0.86,01/05/2008 02:00:00,01/05/2018 18:00:00
,DV,87055,87664,0.99,69205,0.79,01/05/2008 02:00:00,01/05/2018 18:00:00
,VV,87055,87664,0.99,86526,0.99,01/05/2008 02:00:00,01/05/2018 18:00:00
,TS,87055,87664,0.99,86868,1,01/05/2008 02:00:00,01/05/2018 18:00:00
,HR,87055,87664,0.99,86824,1,01/05/2008 02:00:00,01/05/2018 18:00:00
,PR,87055,87664,0.99,7659,0.09,01/05/2008 02:00:00,01/05/2018 18:00:00
81,27015330,OLAYA HERRERA - AUTOM (27015330),6.220611111111,-75.588980555556,1490
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,155408,170088,0.91,153029,0.98,03/12/2014 15:30:00,26/02/2018 19:30:00
,DV,154997,169672,0.91,154963,1,03/12/2014 14:50:00,23/02/2018 21:30:00
,PR,55452,60755,0.91,55452,1,31/12/2016 23:40:00,26/02/2018 21:30:00
,HR,26753,28365,0.94,26753,1,03/12/2014 15:00:00,27/02/2018 12:00:00
,RS,25736,28291,0.91,20662,0.8,03/12/2014 15:00:00,24/02/2018 10:00:00
82,21215190,CAJAMARCA AUTOM   [21215190],4.435666666667,-75.500361111111,2530
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,78817,98464,0.8,66890,0.85,01/12/2006 17:00:00,24/02/2018 09:00:00
,DV,471467,590711,0.8,471407,1,01/12/2006 16:10:00,23/02/2018 20:00:00
,HR,79126,98537,0.8,79121,1,01/12/2006 17:00:00,27/02/2018 10:00:00
,VV,473545,591131,0.8,473519,1,01/12/2006 16:10:00,26/02/2018 18:00:00
,PR,477817,591149,0.81,476695,1,01/12/2006 16:10:00,26/02/2018 21:00:00
83,21185090,NATAIMA AUTOM   [21185090],4.188138888889,-74.960472222222,393
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,73157,108556,0.67,72639,0.99,06/10/2005 11:00:00,23/02/2018 15:00:00
,PR,416749,651808,0.64,416735,1,06/10/2005 10:20:00,26/02/2018 21:00:00
,RS,70285,108573,0.65,70227,1,06/10/2005 12:00:00,24/02/2018 09:00:00
,VV,400656,695050,0.58,394498,0.98,10/12/2004 00:20:00,26/02/2018 18:00:00
,HR,64249,107475,0.6,64246,1,06/10/2005 11:00:00,09/01/2018 14:00:00
,DV,401478,901760,0.45,393942,0.98,01/01/2001 14:40:00,23/02/2018 20:00:00
84,24025090,MOGOTES AUTOMATICA [24025090],6.47,-72.968888888889,1673
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,74119,112647,0.66,68539,0.92,19/04/2005 18:00:00,24/02/2018 09:00:00
,VV,387412,676230,0.57,387250,1,19/04/2005 18:00:00,26/02/2018 19:00:00
,HR,72695,112721,0.64,69562,0.96,19/04/2005 18:00:00,27/02/2018 11:00:00
,PR,460867,676242,0.68,460613,1,19/04/2005 18:00:00,26/02/2018 21:00:00
,DV,394460,675810,0.58,386543,0.98,19/04/2005 18:00:00,23/02/2018 21:00:00
85,21115180,HDA MANILA AUTOMATICA [21115180],3.133055555556,-75.081527777778,600
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,67513,110933,0.61,62912,0.93,29/06/2005 10:00:00,23/02/2018 15:00:00
,VV,221224,673908,0.33,220385,1,05/05/2005 19:53:01,26/02/2018 18:00:00
,DV,281110,665632,0.42,281098,1,29/06/2005 09:20:00,23/02/2018 20:00:00
,RS,62430,110951,0.56,51817,0.83,29/06/2005 10:00:00,24/02/2018 09:00:00
,HR,61937,111025,0.56,61929,1,29/06/2005 10:00:00,27/02/2018 11:00:00
,PR,371924,666064,0.56,371908,1,29/06/2005 09:20:00,26/02/2018 20:00:00
86,15065180,APTO ALM. PADILLA - AUTOM [15065180],11.529611111111,-72.917666666667,4
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,21637,22260,0.97,21426,0.99,05/10/2015 01:00:00,19/04/2018 13:00:00
,TS,21637,22260,0.97,21400,0.99,05/10/2015 01:00:00,19/04/2018 13:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,157210,163350,0.96,144074,0.92,12/12/2014 11:00:00,19/01/2018 20:00:00
,RS,26954,28098,0.96,26952,1,11/12/2014 16:00:00,24/02/2018 10:00:00
,PR,109684,156041,0.7,109683,1,12/12/2014 12:10:00,30/11/2017 03:00:00
,VV,129822,133565,0.97,127405,0.98,05/10/2015 00:10:00,19/04/2018 13:00:00
,TS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
87,801390,PUERTO CARRENO,6.185,-67.493,53.9
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,31656,87506,0.36,31440,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
,NUB,31656,87506,0.36,28093,0.89,04/05/2008 14:00:00,28/04/2018 16:00:00
,HR,31656,87506,0.36,31451,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
,DV,31656,87506,0.36,22036,0.7,04/05/2008 14:00:00,28/04/2018 16:00:00
,PR,31656,87506,0.36,4891,0.15,04/05/2008 14:00:00,28/04/2018 16:00:00
,TS,31656,87506,0.36,31489,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
88,15085050,TOROMANA AUTOMATICA [15085050],12.083527777778,-71.210944444444,144
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,68683,113090,0.61,68078,0.99,04/04/2005 10:00:00,27/02/2018 12:00:00
,DV,37908,676110,0.06,37908,1,17/04/2005 21:00:00,24/02/2018 02:00:00
,VV,254857,676534,0.38,242125,0.95,17/04/2005 16:20:00,26/02/2018 20:00:00
,TS,62281,104615,0.6,60506,0.97,04/04/2005 10:00:00,11/03/2017 09:00:00
,PR,415719,678461,0.61,415664,1,04/04/2005 09:10:00,26/02/2018 22:00:00
,RS,68788,113016,0.61,63735,0.93,04/04/2005 10:00:00,24/02/2018 10:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
89,21137050,ANGOSTURA RIO   [21137050],3.443194444444,-75.118805555556,345
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,280683,337233,0.83,280585,1,19/09/2011 19:09:00,16/02/2018 16:40:00
90,804653,PARAMILLO,7.801,-72.203,1010.1
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,NUB,17585,82301,0.21,15988,0.91,01/05/2008 08:00:00,20/09/2017 13:00:00
,DV,17585,82301,0.21,5052,0.29,01/05/2008 08:00:00,20/09/2017 13:00:00
,HR,17585,82301,0.21,25,0,01/05/2008 08:00:00,20/09/2017 13:00:00
,VV,17585,82301,0.21,17505,1,01/05/2008 08:00:00,20/09/2017 13:00:00
,TS,17585,82301,0.21,38,0,01/05/2008 08:00:00,20/09/2017 13:00:00
,PR,17585,82301,0.21,1,0,01/05/2008 08:00:00,20/09/2017 13:00:00
91,23125170,SAN CAYETANO AUTOM  [23125170],4.516752777778,-74.088222222222,2807
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,345592,685991,0.5,345483,1,08/02/2005 00:10:00,23/02/2018 20:00:00
,VV,224028,686267,0.33,224017,1,09/02/2005 00:10:00,26/02/2018 18:00:00
,PR,418083,686285,0.61,418015,1,09/02/2005 00:10:00,26/02/2018 21:00:00
,HR,69759,114394,0.61,69758,1,09/02/2005 01:00:00,27/02/2018 11:00:00
,RS,77691,115256,0.67,59395,0.76,01/01/2005 01:00:00,24/02/2018 09:00:00
92,29015000,EL GUAMO AUTOM  [29015000],10.064444444444,-74.852222222222,75
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,41499,41974,0.99,41499,1,15/05/2013 13:00:00,27/02/2018 11:00:00
,PR,57462,10125,5.68,57459,1,31/12/2016 23:40:00,26/02/2018 21:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,248621,251712,0.99,248488,1,15/05/2013 19:00:00,26/02/2018 19:00:00
,DV,248171,251298,0.99,248110,1,15/05/2013 18:00:00,23/02/2018 21:00:00
93,21206920,VILLA TERESA AUTOMATICA [21206920],4.35,-74.15,3624
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,87186,94607,0.92,84108,0.96,17/04/2007 01:00:00,31/01/2018 00:00:00
,TS,90572,94607,0.96,2992,0.03,17/04/2007 01:00:00,31/01/2018 00:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,90219,94607,0.95,70096,0.78,17/04/2007 01:00:00,31/01/2018 00:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,500442,571455,0.88,493826,0.99,17/04/2007 10:30:00,26/02/2018 21:00:00
,VV,359971,497381,0.72,359909,1,17/04/2007 10:30:00,30/09/2016 11:20:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,359859,497381,0.72,359845,1,17/04/2007 10:30:00,30/09/2016 11:20:00
,TS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
94,16015120,UNIV DE PAMPLONA AUTOMATICA [16015120],7.360944444444,-72.666055555556,2362
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,37240,60726,0.61,36939,0.99,22/03/2011 09:00:00,23/02/2018 15:00:00
,VV,217839,364805,0.6,217825,1,22/03/2011 10:20:00,26/02/2018 19:10:00
,DV,217006,364391,0.6,216996,1,22/03/2011 10:20:00,23/02/2018 22:10:00
,HR,37045,60818,0.61,37045,1,22/03/2011 09:00:00,27/02/2018 11:00:00
,RS,38863,60745,0.64,27165,0.7,22/03/2011 09:00:00,24/02/2018 10:00:00
,PR,223116,364829,0.61,223095,1,22/03/2011 08:20:00,26/02/2018 21:10:00
95,26185050,STA BARBARA AUTOM  [26185050],5.859583333333,-75.556277777778,1680
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,85321,104128,0.82,85316,1,12/04/2006 19:00:00,27/02/2018 11:00:00
,DV,486758,624256,0.78,484117,0.99,12/04/2006 18:20:00,23/02/2018 21:00:00
,VV,487605,624676,0.78,483365,0.99,12/04/2006 18:20:00,26/02/2018 19:00:00
,RS,85155,104054,0.82,71248,0.84,12/04/2006 19:00:00,24/02/2018 09:00:00
,PR,54336,60809,0.89,54336,1,31/12/2016 14:10:00,26/02/2018 21:00:00
96,13027040,,0,0,0
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,47862,55054,0.87,47862,1,29/01/2017 16:10:00,15/02/2018 23:50:00
97,802140,PERALES,4.422,-75.133,949.1
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,42563,87506,0.49,33985,0.8,04/05/2008 14:00:00,28/04/2018 16:00:00
,PR,42563,87506,0.49,5900,0.14,04/05/2008 14:00:00,28/04/2018 16:00:00
,HR,42563,87506,0.49,42401,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,VV,42563,87506,0.49,42430,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,TS,42563,87506,0.49,42463,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,NUB,42563,87506,0.49,42044,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
98,802190,GIRARDOT/SANTIAGO VILLA,4.283,-74.8,286
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,132,42076,0,123,0.93,04/05/2008 14:00:00,20/02/2013 18:00:00
,DV,132,42076,0,56,0.42,04/05/2008 14:00:00,20/02/2013 18:00:00
,PR,132,42076,0,0,0,04/05/2008 14:00:00,20/02/2013 18:00:00
,TS,132,42076,0,125,0.95,04/05/2008 14:00:00,20/02/2013 18:00:00
,NUB,132,42076,0,109,0.83,04/05/2008 14:00:00,20/02/2013 18:00:00
,VV,132,42076,0,131,0.99,04/05/2008 14:00:00,20/02/2013 18:00:00
99,15015120,UNIV TECNOLOGICA DEL MAGDALENA AUTOMATICA [15015120],11.223055555556,-74.185916666667,7
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,50416,82929,0.61,50415,1,14/09/2007 14:00:00,28/02/2017 23:00:00
,VV,65855,554310,0.12,65855,1,14/08/2007 15:00:00,27/02/2018 00:00:00
,HR,67158,92401,0.73,67158,1,14/08/2007 11:00:00,27/02/2018 12:00:00
,DV,387683,553892,0.7,384470,0.99,14/08/2007 10:40:00,23/02/2018 22:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,1409871,554312,2.54,1406337,1,14/08/2007 10:40:00,26/02/2018 20:00:00
,TS,39973,46428,0.86,38051,0.95,01/01/2013 01:00:00,19/04/2018 13:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
100,23065190,QDA NEGRA AUTOMATICA [23065190],5.137611111111,-74.48125,1107
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,94399,112846,0.84,67536,0.72,11/04/2005 11:00:00,24/02/2018 09:00:00
,PR,470313,677436,0.69,462733,0.98,11/04/2005 11:00:00,26/02/2018 21:00:00
,VV,403029,677423,0.59,386111,0.96,11/04/2005 11:10:00,26/02/2018 19:00:00
,DV,405304,676997,0.6,398283,0.98,11/04/2005 11:10:00,23/02/2018 20:00:00
,HR,78354,112920,0.69,76407,0.98,11/04/2005 11:00:00,27/02/2018 11:00:00
101,26255030,STA ISABEL VALDIVIA  [26255030],7.157277777778,-75.442222222222,1132
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,56155,60809,0.92,56155,1,31/12/2016 14:10:00,26/02/2018 21:00:00
,RS,93238,112103,0.83,83106,0.89,12/05/2005 11:00:00,24/02/2018 10:00:00
,HR,88847,112216,0.79,88292,0.99,10/05/2005 19:00:00,27/02/2018 11:00:00
,VV,272868,673202,0.41,271283,0.99,10/05/2005 18:40:00,26/02/2018 19:00:00
,DV,274075,672789,0.41,270660,0.99,10/05/2005 18:30:00,23/02/2018 22:00:00
102,788079,JAQUE,7.517,-78.15,9
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,1,0,∞,0,0,01/05/2016 09:00:00,01/05/2016 09:00:00
,TS,1,0,∞,0,0,01/05/2016 09:00:00,01/05/2016 09:00:00
,PR,1,0,∞,0,0,01/05/2016 09:00:00,01/05/2016 09:00:00
,NUB,1,0,∞,1,1,01/05/2016 09:00:00,01/05/2016 09:00:00
,HR,1,0,∞,0,0,01/05/2016 09:00:00,01/05/2016 09:00:00
,VV,1,0,∞,1,1,01/05/2016 09:00:00,01/05/2016 09:00:00
103,57025020,GORGONA GUAPI   [57025020],2.962944444444,-78.174361111111,10
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,5949,55602,0.11,5949,1,04/02/2017 20:00:00,25/02/2018 23:00:00
,RS,75408,106822,0.71,66230,0.88,18/12/2005 08:00:00,24/02/2018 06:00:00
,HR,75892,106899,0.71,72922,0.96,18/12/2005 07:00:00,27/02/2018 10:00:00
,DV,44217,9220,4.8,44211,1,04/02/2017 15:50:00,23/02/2018 20:40:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
104,800770,OCANA/AGUAS CLARAS,8.317,-73.367,1435
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,86,33818,0,86,1,04/05/2008 14:00:00,13/03/2012 16:00:00
,HR,86,33818,0,1,0.01,04/05/2008 14:00:00,13/03/2012 16:00:00
,PR,86,33818,0,0,0,04/05/2008 14:00:00,13/03/2012 16:00:00
,DV,86,33818,0,30,0.35,04/05/2008 14:00:00,13/03/2012 16:00:00
,NUB,86,33818,0,82,0.95,04/05/2008 14:00:00,13/03/2012 16:00:00
,TS,86,33818,0,1,0.01,04/05/2008 14:00:00,13/03/2012 16:00:00
105,801100,OLAYA HERRERA,6.22,-75.591,1505.7
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,38153,87506,0.44,37979,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,DV,38153,87506,0.44,21823,0.57,04/05/2008 14:00:00,28/04/2018 16:00:00
,PR,38153,87506,0.44,4293,0.11,04/05/2008 14:00:00,28/04/2018 16:00:00
,TS,38153,87506,0.44,38101,1,04/05/2008 14:00:00,28/04/2018 16:00:00
,NUB,38153,87506,0.44,37425,0.98,04/05/2008 14:00:00,28/04/2018 16:00:00
,HR,38153,87506,0.44,38047,1,04/05/2008 14:00:00,28/04/2018 16:00:00
106,12015100,PISTA INDIRA AUTOM  [12015100],7.94075,-76.696166666667,15
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,62023,115326,0.54,59272,0.96,01/01/2005 04:30:00,27/02/2018 11:00:00
,RS,61955,115253,0.54,46883,0.76,01/01/2005 04:30:00,24/02/2018 10:00:00
,TS,57808,115233,0.5,53693,0.93,01/01/2005 04:30:00,23/02/2018 14:00:00
,VV,314602,691096,0.46,308834,0.98,06/01/2005 12:15:00,26/02/2018 19:00:00
,DV,309883,690682,0.45,309866,1,06/01/2005 12:15:00,23/02/2018 22:00:00
,PR,345698,691737,0.5,345696,1,02/01/2005 03:30:00,26/02/2018 21:00:00
107,21206960,IDEAM BOGOTA AUTOMATICA [21206960],4.6,-74.066666666667,2646
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,72624,104831,0.69,64668,0.89,14/02/2006 01:00:00,30/01/2018 00:00:00
,DV,428424,515831,0.83,411596,0.96,11/04/2008 00:10:00,31/01/2018 04:00:00
,HR,70324,84411,0.83,68442,0.97,15/06/2008 01:00:00,31/01/2018 04:00:00
,TS,69000,84965,0.81,68994,1,15/06/2008 10:00:00,23/02/2018 15:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,430189,519600,0.83,430162,1,11/04/2008 13:00:00,26/02/2018 21:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,421632,506303,0.83,334441,0.79,15/06/2008 00:10:00,30/01/2018 00:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
108,26155230,EMAS AUTOM   [26155230],5.08525,-75.507138888889,2211
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,99828,111783,0.89,93890,0.94,25/05/2005 18:00:00,24/02/2018 09:00:00
,DV,556318,670626,0.83,549726,0.99,25/05/2005 18:00:00,23/02/2018 21:00:00
,HR,100366,143887,0.7,99891,1,29/09/2001 03:44:00,27/02/2018 11:00:00
,VV,557245,671046,0.83,554212,0.99,25/05/2005 18:00:00,26/02/2018 19:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,55588,60797,0.91,55588,1,31/12/2016 16:10:00,26/02/2018 21:00:00
109,44037040,EL ROSARIO AUTOMATICA [44037040],1.72525,-75.666388888889,600
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,55639,60679,0.92,55639,1,01/01/2017 10:50:00,26/02/2018 20:00:00
110,53075020,EL DIVISO AUTOMATICA [53075020],2.311416666667,-77.258777777778,1750
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,43903,109166,0.4,37339,0.85,11/09/2005 19:00:00,24/02/2018 09:00:00
,PR,55996,60803,0.92,55996,1,31/12/2016 14:10:00,26/02/2018 20:00:00
,VV,55262,60791,0.91,55262,1,31/12/2016 14:10:00,26/02/2018 18:00:00
,DV,54174,60370,0.9,54174,1,31/12/2016 14:10:00,23/02/2018 19:50:00
,HR,44039,109239,0.4,44036,1,11/09/2005 19:00:00,27/02/2018 10:00:00
111,35037100,PTE ABADIA AUTOMATICA [35037100],4.235333333333,-73.635361111111,523
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,55184,60185,0.92,55184,1,31/12/2016 14:10:00,22/02/2018 13:00:00
112,26135290,MARSELLA AUTOM   [26135290],4.929583333333,-75.738388888889,1659
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,410150,669536,0.61,406895,0.99,14/05/2005 18:20:00,05/02/2018 07:40:00
,DV,406327,669536,0.61,406290,1,14/05/2005 18:20:00,05/02/2018 07:40:00
,PR,45699,59195,0.77,45699,1,31/12/2016 14:10:00,15/02/2018 16:00:00
,HR,85627,111837,0.77,84657,0.99,14/05/2005 19:00:00,15/02/2018 16:00:00
,RS,86257,111837,0.77,74727,0.87,14/05/2005 19:00:00,15/02/2018 16:00:00
113,48015040,PTO NARIÑO AUTOM  [48015040],-3.780305555556,-70.362638888889,158
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,31266,8933,3.5,31266,1,16/02/2017 15:00:00,23/02/2018 20:30:00
,PR,636,55410,0.01,636,1,21/01/2017 00:00:00,09/02/2018 19:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,HR,65722,94460,0.7,65700,1,18/05/2007 16:00:00,25/02/2018 12:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,3951,53682,0.07,3951,1,16/02/2017 20:00:00,24/02/2018 15:00:00
,RS,363923,94214,3.86,357245,0.98,27/05/2007 16:00:00,24/02/2018 06:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
114,21195170,PAQUILO AUTOMATICA [21195170],3.993611111111,-74.398055555556,2957
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,8318,663882,0.01,8318,1,14/07/2005 13:00:00,26/02/2018 20:00:00
,VV,575902,115306,4.99,565267,0.98,01/01/2005 08:00:00,26/02/2018 18:00:00
,HR,98324,110711,0.89,98319,1,12/07/2005 11:00:00,27/02/2018 10:00:00
,TS,102101,110620,0.92,99245,0.97,12/07/2005 11:00:00,23/02/2018 15:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,98160,663750,0.15,98160,1,12/07/2005 15:00:00,24/02/2018 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
115,21195190,PASCA AUTOMATICA [21195190],4.310111111111,-74.31175,2256
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,524277,659685,0.79,524262,1,12/08/2005 17:30:00,26/02/2018 21:00:00
,TS,68644,84718,0.81,68643,1,25/06/2008 17:00:00,23/02/2018 15:00:00
,RS,73746,150316,0.49,56813,0.77,01/01/2001 04:47:05,24/02/2018 09:00:00
,DV,302773,508341,0.6,302751,1,25/06/2008 16:30:00,23/02/2018 20:00:00
,VV,303346,828224,0.37,301116,0.99,30/05/2002 04:39:02,26/02/2018 18:00:00
,HR,68983,84810,0.81,68980,1,25/06/2008 17:00:00,27/02/2018 11:00:00
116,23035030,BASE PALANQUERO   [23035030],5.492861111111,-74.658,170
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,482746,648410,0.74,482710,1,30/10/2005 00:40:00,26/02/2018 21:00:00
,VV,462222,648398,0.71,436892,0.95,30/10/2005 00:40:00,26/02/2018 19:00:00
,HR,79675,108082,0.74,73989,0.93,30/10/2005 01:00:00,27/02/2018 11:00:00
,RS,83128,108008,0.77,69831,0.84,30/10/2005 01:00:00,24/02/2018 09:00:00
,DV,472920,691414,0.68,460494,0.97,01/01/2005 09:09:00,23/02/2018 20:50:00
117,26055100,FARALLONES AUTOM   [26055100],3.416055555556,-76.6515,227
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,70581,98757,0.71,70580,1,22/11/2006 13:00:00,27/02/2018 10:00:00
,DV,236826,278573,0.85,198913,0.84,01/01/2013 00:10:00,19/04/2018 13:00:00
,TS,39356,46428,0.85,38823,0.99,01/01/2013 01:00:00,19/04/2018 13:00:00
,HR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,VV,375350,592451,0.63,369159,0.98,22/11/2006 12:10:00,26/02/2018 18:00:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,56387,60803,0.93,56387,1,31/12/2016 14:10:00,26/02/2018 20:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
118,25025340,SAN MARCOS AUTOMATICA [25025340],8.596833333333,-75.142694444444,31
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,PR,192,43716,0,192,1,21/03/2017 20:00:00,19/01/2018 10:00:00
,DV,27902,355518,0.08,27902,1,23/05/2011 05:00:00,24/02/2018 02:00:00
,HR,34731,59337,0.59,34731,1,23/05/2011 01:00:00,27/02/2018 10:00:00
,VV,171541,355931,0.48,167072,0.97,23/05/2011 00:10:00,26/02/2018 18:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,85224,110298,0.77,62310,0.73,26/07/2005 16:00:00,24/02/2018 10:00:00
